station,sample number,longitude (° E),latitude (°N),Cr(mg/kg),Cu(mg/kg),Zn(mg/kg),As(mg/kg),Cd(mg/kg),Pb(mg/kg),Hg(mg/kg),Ni(mg/kg),Al2O3 (%),clay (%),silt (%),sand (%),"mean grain size(Mz, Φ)",water depth (m)
1,BC002,118.83,38.95,40.883,15.67,45.946,7.626,0.132,19.794,0.16,17.3,11.03,7.02,16.53,76.45,3.3,24.96
2,BC003,118.85,38.97,41.006,15.017,50.23,7.198,0.148,21.49,0.137,17.1,10.83,5.66,13.89,80.45,3.04,23.0
3,BC004,118.87,38.98,24.466,9.706,28.4,9.501,0.072,17.006,0.197,11.7,8.55,8.11,23.11,68.79,3.53,22.01
4,BC005,118.9,38.98,32.252,12.394,33.98,12.065,0.1,21.302,0.036,13.6,9.78,7.65,17.84,74.51,3.38,21.0
5,BC006,118.92,38.98,23.871,11.229,33.973,11.282,0.101,19.292,0.108,13.9,10.15,7.41,17.51,75.08,3.38,20.72
6,BC007,118.94,38.98,33.123,13.158,41.095,9.219,0.162,21.326,0.063,14.6,10.07,19.51,43.62,36.86,5.33,21.2
7,BC008,118.97,38.98,50.032,16.174,50.295,9.028,0.144,22.574,0.098,18.2,10.84,7.98,19.29,72.73,3.45,22.7
8,BC009,118.99,38.98,48.706,14.819,47.701,10.395,0.796,24.597,0.155,16.4,10.75,9.42,24.45,66.13,3.67,22.9
9,BC010,118.68,38.96,11.326,3.508,18.347,4.806,0.04,14.161,0.063,5.18,7.04,0.92,2.19,96.9,2.04,12.41
10,BC011,118.72,38.96,24.974,11.622,37.41,6.541,0.106,18.162,0.174,16.0,9.34,17.69,41.61,40.7,5.13,20.0
11,BC012,118.77,38.96,86.526,37.003,98.195,12.963,0.25,29.175,0.173,40.8,12.8,18.62,73.22,8.16,6.09,29.04
12,BC013,118.8,38.96,75.279,28.538,78.618,11.904,0.192,25.511,0.181,32.1,12.23,20.42,51.03,28.55,5.67,28.21
13,BC014,118.26,38.94,92.919,32.635,89.73,11.339,0.168,27.041,0.175,38.2,12.58,25.15,68.07,6.78,6.63,14.18
14,BC015,118.31,38.94,109.193,33.871,92.757,11.48,0.179,27.188,0.123,39.7,12.12,29.24,68.35,2.41,6.99,20.63
15,BC016,118.35,38.94,123.551,44.529,115.832,15.361,0.178,31.155,0.066,51.5,12.89,28.53,70.73,0.74,7.06,19.6
16,BC017,118.8,38.95,55.959,20.732,60.134,8.697,0.178,24.878,0.061,39.5,11.63,12.29,26.09,61.61,3.97,27.2
17,BC018,118.83,38.95,49.332,17.882,52.985,6.931,0.152,20.439,0.143,21.3,11.33,6.6,15.24,78.16,3.26,24.39
18,BC019,118.85,38.95,38.886,14.964,44.522,9.436,0.146,23.951,0.099,17.2,10.71,5.46,11.75,82.79,2.89,23.0
19,BC020,118.87,38.94,42.924,16.193,47.874,7.788,0.118,19.41,0.187,18.6,11.08,12.02,28.68,59.3,3.91,24.49
20,BC021,118.9,38.95,57.654,21.769,60.485,10.311,0.222,27.13,0.197,23.8,11.39,12.5,26.87,60.63,3.95,25.6
21,BC022,118.92,38.94,46.486,19.278,51.602,9.717,0.176,22.522,0.129,147.0,11.4,10.68,24.47,64.85,3.79,26.89
22,BC023,118.94,38.95,66.433,12.044,32.235,15.69,0.104,20.509,0.016,13.3,8.18,2.14,4.91,92.95,1.4,23.7
23,BC024,118.97,38.94,23.039,11.647,32.454,7.944,0.103,17.852,0.188,13.1,9.79,6.3,15.06,78.64,3.16,23.31
24,BC025,118.99,38.95,24.167,10.11,31.563,6.288,0.099,17.546,0.188,10.5,8.98,11.4,23.56,65.05,3.7,22.4
25,BC027,118.63,38.93,118.839,44.327,118.379,14.706,0.411,34.281,0.134,46.2,12.77,27.48,72.39,0.13,7.03,23.77
26,BC028,118.68,38.93,101.066,42.123,110.395,12.196,0.416,30.923,0.154,49.3,12.83,29.3,70.7,0.0,7.2,29.39
27,BC029,118.72,38.93,95.033,43.587,111.988,14.453,0.358,33.3,0.177,44.6,13.0,29.04,70.87,0.09,7.12,33.11
28,BC030,118.77,38.93,38.176,14.721,42.272,9.942,0.096,20.938,0.142,16.6,10.49,11.42,25.12,63.46,3.88,28.04
29,BC031,118.8,38.93,49.848,17.477,50.978,13.177,0.155,24.078,0.155,21.0,11.34,12.83,27.5,59.68,4.0,27.1
30,BC032,118.26,38.91,113.647,42.592,115.853,14.676,0.206,33.087,0.13,49.6,13.37,34.78,65.22,0.0,7.48,19.14
31,BC033,118.31,38.91,112.952,39.679,103.989,13.523,0.183,28.814,0.186,45.9,12.86,33.66,66.35,0.0,7.4,20.32
32,BC034,118.36,38.91,130.673,45.353,121.832,14.483,0.192,32.657,0.104,51.9,12.88,28.94,70.94,0.12,7.1,19.6
33,BC035,118.42,38.91,114.537,40.098,109.533,15.197,0.2,30.997,0.028,47.3,13.06,28.07,70.16,1.77,7.06,21.43
34,BC036,118.8,38.91,32.365,13.807,40.189,11.114,0.123,21.876,0.058,15.4,10.33,9.08,19.15,71.77,3.49,24.1
